(171, 209, 3)
171
(244, 244, 236)
(215, 215, 207)
(185, 185, 177)
(173, 173, 165)
(177, 174, 167)
(178, 175, 168)
(175, 172, 165)
(173, 170, 163)
(174, 169, 163)
(176, 171, 165)
(179, 174, 168)
(181, 176, 170)
(184, 177, 171)
(185, 178, 172)
(186, 179, 173)
(188, 181, 175)
(194, 189, 183)
(205, 200, 194)
(224, 219, 213)
(243, 238, 232)
(254, 249, 243)
(254, 249, 243)
(252, 247, 241)
(251, 246, 240)
(235, 230, 224)
(217, 212, 206)
(192, 187, 181)
(177, 172, 166)
(175, 170, 164)
(173, 168, 162)
(176, 171, 165)
(185, 182, 175)
(190, 190, 182)
(187, 187, 179)
(190, 190, 182)
(204, 204, 196)
(227, 227, 219)
(246, 246, 238)
(255, 255, 248)
(255, 255, 248)
(242, 242, 234)
(215, 215, 207)
(188, 188, 180)
(177, 177, 169)
(179, 179, 171)
(182, 182, 174)
(185, 185, 177)
(187, 187, 179)
(187, 186, 181)
(185, 184, 179)
(191, 190, 185)
(204, 203, 198)
(221, 220, 215)
(243, 242, 237)
(255, 254, 249)
(254, 253, 248)
(250, 249, 244)
(224, 223, 218)
(195, 194, 189)
(180, 179, 174)
(175, 174, 169)
(171, 170, 165)
(170, 169, 164)
(172, 171, 166)
(168, 167, 162)
(168, 167, 162)
(167, 166, 161)
(166, 165, 160)
(165, 164, 159)
(164, 163, 158)
(164, 163, 158)
(164, 163, 158)
(161, 160, 155)
(178, 177, 172)
(206, 205, 200)
(232, 231, 226)
(249, 248, 243)
(255, 255, 250)
(245, 244, 239)
(223, 222, 217)
(189, 188, 183)
(175, 174, 169)
(166, 165, 160)
(164, 163, 158)
(162, 161, 156)
(164, 163, 158)
(166, 165, 160)
(163, 162, 157)
(164, 163, 158)
(174, 173, 168)
(196, 195, 190)
(225, 224, 219)
(247, 246, 241)
(254, 253, 248)
(250, 249, 244)
(247, 244, 239)
(221, 216, 210)
(192, 187, 181)
(171, 166, 160)
(167, 162, 156)
(168, 163, 157)
(169, 164, 158)
(170, 165, 159)
(169, 164, 158)
(167, 162, 156)
(169, 164, 158)
(172, 167, 161)
(173, 168, 162)
(169, 164, 158)
(168, 163, 157)
(174, 169, 163)
(181, 176, 170)
(194, 189, 185)
(216, 211, 207)
(247, 242, 238)
(255, 251, 247)
(255, 253, 249)
(248, 243, 239)
(214, 209, 205)
(201, 196, 192)
(201, 196, 192)
(202, 197, 193)
(200, 195, 191)
(195, 190, 186)
(199, 194, 190)
(214, 209, 205)
(235, 230, 226)
(249, 244, 240)
(255, 254, 250)
(253, 248, 244)
(234, 229, 225)
(208, 203, 199)
(192, 187, 183)
(184, 179, 175)
(175, 170, 166)
(163, 158, 154)
(165, 160, 156)
(164, 159, 155)
(163, 158, 154)
(161, 156, 152)
(160, 155, 151)
(159, 154, 150)
(158, 153, 149)
(158, 153, 149)
(156, 151, 145)
(160, 155, 149)
(167, 162, 156)
(173, 168, 162)
(180, 175, 169)
(198, 193, 187)
(227, 222, 216)
(250, 245, 239)
(255, 251, 245)
(255, 253, 247)
(239, 234, 228)
(207, 202, 196)
(183, 178, 172)
(171, 166, 160)
(164, 159, 153)
(162, 157, 151)
(166, 161, 155)
(170, 165, 159)
(170, 165, 159)
(166, 161, 155)
(161, 156, 150)
(157, 152, 146)
(166, 161, 155)
(185, 180, 174)
(194, 189, 183)
(204, 199, 193)
(214, 209, 203)
