(1573, 1481, 3)
1573
(164, 162, 163)
(172, 170, 171)
(180, 178, 179)
(186, 184, 185)
(189, 187, 188)
(191, 189, 190)
(191, 189, 190)
(191, 189, 190)
(190, 188, 189)
(189, 187, 188)
(189, 187, 188)
(189, 187, 188)
(189, 187, 188)
(187, 185, 186)
(187, 185, 186)
(188, 186, 187)
(188, 186, 187)
(189, 187, 188)
(189, 187, 188)
(189, 187, 188)
(187, 187, 187)
(188, 188, 188)
(189, 189, 189)
(189, 189, 189)
(188, 188, 188)
(187, 187, 187)
(188, 188, 188)
(189, 189, 189)
(190, 190, 190)
(189, 189, 189)
(187, 187, 187)
(187, 187, 187)
(189, 187, 188)
(189, 187, 188)
(189, 187, 188)
(189, 187, 188)
(188, 186, 187)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(188, 186, 187)
(187, 185, 186)
(187, 185, 186)
(186, 184, 185)
(187, 185, 186)
(187, 185, 186)
(186, 184, 185)
(187, 185, 186)
(188, 186, 187)
(187, 185, 186)
(186, 184, 187)
(186, 184, 187)
(186, 184, 187)
(187, 185, 188)
(186, 184, 187)
(186, 184, 187)
(186, 184, 187)
(187, 185, 188)
(188, 186, 189)
(189, 187, 190)
(188, 186, 189)
(188, 186, 189)
(187, 185, 188)
(187, 185, 188)
(188, 186, 189)
(188, 186, 189)
(188, 186, 189)
(188, 186, 189)
(188, 186, 189)
(187, 185, 188)
(190, 188, 191)
(189, 187, 190)
(188, 186, 189)
(187, 185, 188)
(186, 184, 187)
(186, 184, 187)
(187, 185, 188)
(188, 186, 189)
(189, 187, 190)
(188, 186, 189)
(188, 186, 189)
(187, 185, 188)
(188, 186, 189)
(189, 187, 190)
(190, 188, 191)
(190, 188, 191)
(189, 187, 190)
(189, 187, 190)
(189, 187, 190)
(188, 186, 189)
(188, 186, 189)
(188, 186, 189)
(187, 185, 188)
(186, 184, 187)
(186, 184, 185)
(186, 184, 185)
(186, 184, 185)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(186, 184, 185)
(185, 183, 184)
(185, 183, 184)
(185, 183, 184)
(185, 183, 184)
(186, 184, 185)
(187, 185, 186)
(186, 184, 185)
(186, 184, 185)
(186, 184, 185)
(186, 184, 185)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(187, 185, 186)
(186, 184, 185)
(186, 184, 185)
(186, 184, 185)
(187, 185, 186)
(187, 185, 186)
(188, 186, 187)
(187, 185, 186)
(189, 185, 186)
(188, 184, 185)
(188, 184, 185)
(188, 184, 185)
(188, 184, 185)
(188, 184, 185)
(187, 183, 184)
(186, 182, 183)
(186, 182, 183)
(186, 182, 183)
(185, 181, 182)
(185, 181, 182)
(188, 184, 183)
(192, 188, 187)
(198, 194, 193)
(206, 202, 201)
(215, 211, 208)
(225, 222, 217)
(228, 225, 218)
(225, 222, 215)
(224, 221, 212)
(225, 222, 213)
(225, 222, 215)
(228, 225, 218)
(228, 225, 220)
(226, 223, 218)
(225, 221, 218)
(225, 221, 218)
(225, 222, 217)
(226, 223, 218)
(225, 222, 215)
(225, 222, 215)
(225, 222, 215)
(224, 221, 214)
(224, 221, 214)
(224, 221, 214)
(224, 221, 214)
(223, 220, 213)
(222, 219, 212)
(221, 218, 211)
(222, 219, 212)
(223, 220, 213)
(224, 221, 214)
(224, 221, 214)
(224, 221, 214)
(223, 220, 213)
(223, 220, 213)
(224, 221, 214)
(224, 221, 214)
(224, 221, 214)
(225, 222, 215)
(225, 222, 215)
(225, 222, 215)
(225, 222, 215)
(227, 224, 217)
(228, 225, 218)
(230, 227, 220)
(229, 226, 219)
(227, 224, 217)
(225, 222, 215)
(224, 221, 214)
(223, 220, 213)
(222, 219, 212)
(222, 219, 212)
(222, 219, 212)
(222, 219, 212)
(221, 218, 211)
(220, 217, 210)
(220, 217, 210)
(221, 218, 211)
(221, 218, 211)
(220, 217, 210)
(219, 216, 209)
(218, 215, 208)
(219, 216, 209)
(220, 217, 210)
(219, 216, 209)
(218, 215, 208)
(219, 216, 209)
(220, 217, 210)
(222, 219, 212)
(223, 220, 213)
(224, 221, 214)
(225, 222, 215)
(226, 223, 216)
(227, 224, 217)
(227, 224, 217)
(228, 225, 218)
(228, 225, 218)
(226, 223, 216)
(223, 220, 213)
(221, 218, 211)
(218, 215, 208)
(214, 211, 204)
(212, 209, 202)
(212, 209, 202)
(209, 209, 201)
(209, 209, 201)
(209, 209, 201)
(209, 209, 201)
(210, 210, 202)
(210, 210, 202)
(211, 211, 203)
(212, 212, 204)
(213, 213, 205)
(213, 213, 205)
(213, 213, 205)
(213, 213, 205)
(212, 212, 204)
(212, 212, 204)
(214, 214, 206)
(215, 215, 207)
(214, 214, 206)
(215, 215, 207)
(216, 216, 208)
(217, 217, 209)
(217, 217, 209)
(217, 217, 209)
(217, 217, 209)
(216, 216, 208)
(219, 219, 211)
(219, 219, 211)
(218, 218, 210)
(215, 215, 207)
(210, 210, 202)
(207, 207, 199)
(206, 206, 198)
(206, 206, 198)
(204, 203, 198)
(204, 203, 198)
(203, 202, 197)
(202, 201, 196)
(203, 202, 197)
(205, 204, 199)
(207, 206, 201)
(209, 208, 203)
(211, 211, 203)
(211, 211, 203)
(212, 212, 204)
(212, 212, 204)
(212, 212, 204)
(213, 213, 205)
(215, 215, 207)
(216, 216, 208)
(216, 216, 208)
(217, 217, 209)
(219, 219, 211)
(218, 218, 210)
(212, 212, 204)
(205, 205, 197)
(201, 201, 193)
(199, 199, 191)
(201, 201, 193)
(200, 200, 192)
(198, 198, 190)
(199, 199, 191)
(200, 200, 190)
(201, 201, 191)
(200, 200, 190)
(199, 199, 189)
(198, 198, 190)
(198, 198, 190)
(198, 198, 190)
(198, 198, 190)
(198, 198, 190)
(198, 198, 190)
(198, 198, 190)
(198, 198, 190)
(199, 199, 191)
(199, 199, 191)
(198, 198, 190)
(197, 197, 189)
(196, 196, 188)
(197, 197, 189)
(199, 199, 191)
(200, 200, 192)
(199, 199, 191)
(200, 200, 192)
(201, 201, 193)
(203, 203, 195)
(205, 205, 197)
(205, 205, 197)
(203, 203, 195)
(202, 202, 194)
(198, 198, 190)
(196, 196, 188)
(194, 194, 186)
(193, 193, 185)
(193, 193, 185)
(193, 193, 185)
(194, 194, 186)
(194, 194, 186)
(195, 195, 187)
(195, 195, 187)
(195, 195, 187)
(195, 195, 187)
(195, 195, 187)
(195, 195, 187)
(194, 194, 186)
(194, 194, 186)
(194, 194, 186)
(194, 194, 186)
(192, 192, 184)
(192, 192, 184)
(196, 196, 188)
(197, 197, 189)
(198, 198, 190)
(199, 199, 191)
(204, 204, 196)
(205, 205, 197)
(208, 208, 200)
(211, 211, 203)
(216, 216, 208)
(218, 218, 210)
(216, 216, 208)
(212, 212, 204)
(203, 203, 195)
(198, 198, 190)
(198, 198, 190)
(200, 200, 192)
(199, 199, 191)
(197, 197, 189)
(196, 196, 188)
(194, 194, 186)
(192, 192, 184)
(193, 193, 185)
(193, 193, 185)
(192, 192, 184)
(191, 191, 183)
(192, 192, 184)
(192, 192, 184)
(191, 191, 183)
(192, 192, 184)
(192, 192, 184)
(192, 192, 184)
(191, 191, 183)
(190, 190, 182)
(190, 190, 182)
(195, 195, 187)
(199, 199, 191)
(205, 205, 197)
(208, 208, 200)
(211, 211, 203)
(212, 212, 204)
(212, 212, 204)
(210, 210, 202)
(206, 206, 198)
(202, 202, 194)
(194, 194, 186)
(191, 191, 183)
(190, 190, 182)
(191, 191, 183)
(189, 189, 181)
(186, 186, 178)
(185, 185, 177)
(186, 186, 178)
(187, 187, 179)
(186, 186, 178)
(185, 185, 177)
(184, 184, 176)
(184, 184, 176)
(183, 183, 175)
(184, 184, 176)
(186, 186, 178)
(187, 187, 179)
(188, 188, 180)
(189, 189, 181)
(191, 191, 183)
(196, 196, 188)
(203, 203, 195)
(209, 209, 201)
(211, 211, 203)
(213, 213, 205)
(210, 210, 202)
(206, 206, 198)
(204, 204, 196)
(204, 204, 196)
(202, 202, 194)
(196, 196, 188)
(191, 191, 183)
(188, 188, 180)
(189, 189, 181)
(187, 187, 179)
(184, 184, 176)
(183, 183, 175)
(186, 186, 178)
(189, 189, 181)
(189, 189, 181)
(184, 184, 174)
(182, 182, 172)
